id,timestamp,text,context,classification,confidence,toxicity_score,toxicity_confidence,toxicity_label,primary_emotion,emotion_intensity,intent,detected_issues,has_feedback,feedback_message,processing_time_ms,used_llm
1,2024-01-12 09:36:05,you should tell an adult,message,green,0.9,0.0,0.5,neither,anger,0.6323026418685913,neutral,,no,,99.17211532592773,no
2,2024-01-17 08:48:54,why do i feel left out?,search,green,0.9,0.0,0.5,neither,sadness,0.8916389346122742,neutral,,no,,90.27719497680664,no
3,2024-01-24 14:52:24,periodt,message,green,0.9,0.0,0.5,neither,anger,0.5051017999649048,neutral,,no,,92.27490425109863,no
4,2024-01-28 17:30:13,lying is never okay,message,green,0.9,0.0,0.5,neither,joy,0.9868255257606506,positive,,no,,94.97499465942383,no
5,2024-01-02 13:42:11,youre the best friend ever,message,green,0.9,0.0,0.5,neither,joy,0.8967813849449158,positive,,no,,102.96893119812012,no
6,2024-01-28 14:35:34,youre already very kind,message,green,0.9,0.0,0.5,neither,joy,0.5599386096000671,positive,,no,,96.09389305114746,no
7,2024-01-03 20:24:55,youre amazing,message,green,0.9,0.0,0.5,neither,surprise,0.688075065612793,neutral,,no,,98.70219230651855,no
8,2024-01-18 20:32:22,go off,message,green,0.9,0.0,0.5,neither,anger,0.8154372572898865,neutral,,no,,97.95308113098145,no
9,2024-01-18 13:37:54,everyone makes mistakes sometimes,message,green,0.9,0.0,0.5,neither,sadness,0.9017521739006042,neutral,,no,,183.80117416381836,no
10,2024-01-04 15:16:56,no cap youre the best friend,message,green,0.9,0.0,0.5,neither,anger,0.7627076506614685,neutral,,no,,94.77496147155762,no
11,2024-01-07 14:18:28,i love playing that game,message,green,0.9,0.0,0.5,neither,joy,0.516348123550415,positive,,no,,96.94099426269531,no
12,2024-01-21 19:22:50,how to handle bullies,search,green,0.9,0.0,0.5,neither,anger,0.994350790977478,neutral,,no,,110.13984680175781,no
13,2024-01-01 17:05:48,they dont hate you,message,yellow,0.75,0.6,0.9,offensive,anger,0.9885347485542297,personal_attack,,yes,"It sounds like something is really bothering you. Harsh criticism rarely helps. Specific, constructive feedback works better. Let's find a better way to express what you're feeling.",117.85292625427246,no
14,2024-01-24 10:38:56,fr thats so cool,message,green,0.9,0.0,0.5,neither,joy,0.9986984729766846,positive,,no,,114.8381233215332,no
15,2024-01-10 10:58:22,different is special,message,green,0.9,0.0,0.5,neither,joy,0.9485678672790527,positive,,no,,157.9298973083496,no
16,2024-01-21 12:05:16,just be yourself always,message,green,0.9,0.0,0.5,neither,joy,0.9871180057525635,positive,,no,,151.81207656860352,no
17,2024-01-11 15:23:47,why do i feel so sad?,search,green,0.9,0.0,0.5,neither,sadness,0.9990742206573486,neutral,,no,,112.4718189239502,no
18,2024-01-18 18:35:39,what is Facebook?,search,green,0.9,0.0,0.5,neither,fear,0.5916630625724792,neutral,,no,,104.69293594360352,no
19,2024-01-02 18:16:44,lying is never okay,message,green,0.9,0.0,0.5,neither,joy,0.9868255257606506,positive,,no,,1.0,no
20,2024-01-15 18:13:39,youre already very kind,message,green,0.9,0.0,0.5,neither,joy,0.5599386096000671,positive,,no,,1.0,no
21,2024-01-08 20:06:51,its perfectly okay to cry,message,green,0.9,0.0,0.5,neither,joy,0.9975487589836121,positive,,no,,101.34625434875488,no
22,2024-01-24 14:17:26,talking things out helps,message,green,0.9,0.0,0.5,neither,anger,0.5931562185287476,neutral,,no,,89.96701240539551,no
23,2024-01-12 13:34:22,thats a big mood,message,green,0.9,0.0,0.5,neither,joy,0.8838210701942444,positive,,no,,90.1329517364502,no
24,2024-01-26 10:47:02,slay,message,green,0.9,0.0,0.5,neither,anger,0.8761805891990662,neutral,,no,,92.38910675048828,no
25,2024-01-18 13:32:02,how to be more brave,search,green,0.9,0.0,0.5,neither,joy,0.995148241519928,positive,,no,,89.80393409729004,no
